Comment,Footprint,Manufacturer

"DB105STR","DB1","SMC"
"CMI-9605IC-0580T","CMI-9605IC","CUI Devices"
"CAP CER 1uF","CAP 0805",""
"CAP CER 100nF 0603","CAP_0603",""
"CAP CER 100nF 0805","CAP 0805","Vishay Vitramon"
"CAP CER 4.7uF 0805","CAP 0805","Samsung"
"CAP ALU 68uF","CAP EEVSERIES",""
"CAP CER 10nF 0603","CAP_0603",""
"ESH477M050AH4AA","CAP_RADIAL_D10_P5","KEMET"
"CAP CER 20pF 0603","CAP_0603",""
"CAP CER 33uF 1206","CAP_1206",""
"SZMMSZ52","SZM","ON Semiconductor"
"1N4148WS","SOD323F","ON Semiconductor / Fairchild"
"LED GREEN 0805","LED GREEN 0805",""
"LED RED 0805","LED RED 0805",""
"FUSE 3413.0216.22","FUSE 3413.0216.22","Schurter"
"PJ-037AH-SMT-TR","JACK","CUI"
"TBP01R1-508-02BE","TBP01R1-508",""
"SMH-105-02-L-S","PINHEADER1X5_RA",""
"64800611622_conn_6pin","64800611622",""
"IND 47uH","IND_1212","Wurth Electronics"
"Micro B USB Connector","MICRO_B_USB",""
"MMBT3904-7-F","SOT-23F",""
"5WD27","RES_AXIAL_W",""
"RES 1K OHM 0603","RES_0603",""
"RES 10K OHM 0603","RES_0603",""
"RES 4.7K OHM 0603","RES_0603",""
"RES 100 OHM 0603","RES_0603",""
"RES 560K OHM 0603","RES_0603",""
"RES 43K OHM 0603","RES_0603",""
"RES 220K OHM 0603","RES_0603",""
"RES 0 OHM 0603","RES_0603","Vishay Dale"
"ALQ112","ALQ112",""
"TFPT 1206L 1002FM","RES_1206","Vishay Dale"
"LHI 878/3902","LHI 878",""
"EG1215AA","EG121","E-Switch"
"BV302S12010-ZU","BV302S",""
"AP7361-33E-13","SOT223","Diodes"
"LM2675MX-12/NOPB","SOIC8","TI National Semiconductor"
"STM32F103C6T6","LQFP-48",""
"USB PROTECTION","SOT23-6L","STMicroelectronics"
"ESP32-WROOM 32E (4 MB)","ESP32-32E",""
"MAX6662","SOIC8","Maxim"
"M41T00","SOIC8","STMicroelectronics"
"OPA314","SOT23-5","Texas Instruments"
"NCS360000","SOIC14","ON Semiconductor"
"CRYSTAL 16MHz","ECS","Abracon"
"CRYSTAL 32768kHZ","AB505","Abracon"
